"","name","gender","birthdate","studentnr"
"70","Ciara Edson",0,1965-02-21,1662319
"71","Laura Skipworth",0,1954-03-12,1662319
"72","Dante Lindblom",1,1953-05-26,1662319
"73","Leif Kita",1,1967-08-26,1662950
"74","Fletcher Velasques",1,1958-11-02,1662950
"75","Huey Mckown",1,1951-09-21,1662950
"76","Dee Vercher",1,1951-10-13,1663332
"77","Clint Manns",1,1959-03-10,1663332
"78","Bailey Woolsey",0,1975-06-10,1663332
"79","Julieann Seybert",0,1960-01-01,1663409
"80","Mathew Kammer",1,1976-08-12,1663409
"81","Dee Vercher",1,1966-12-07,1663409
"82","Rosina Dubray",0,1977-01-14,1663522
"83","Vanda Bodie",0,1975-01-07,1663522
"84","Floretta Shawl",0,1959-09-30,1663522
"85","Alvina Fan",0,1959-03-23,1663754
"86","Sandy Kozak",1,1958-09-25,1663754
"87","Jan Millett",1,1971-12-04,1663754
"88","Eileen Mullan",0,1953-07-14,1663982
"89","Verlene Makuch",0,1950-08-25,1663982
"90","Enola Latour",0,1966-05-12,1663982
"91","Mike Normand",1,1975-03-14,1665399
"92","Glenda Tiedemann",0,1974-01-30,1665399
"93","Marry Gloster",0,1956-01-11,1665399
"94","Alejandrina Fury",0,1951-01-16,1665508
"95","Kelly Mcjunkin",1,1978-06-28,1665508
"96","Roberto Vo",1,1952-07-01,1665508
"97","Amado Ohearn",1,1964-04-28,1666181
"98","Jessie Damelio",1,1976-08-29,1666181
"99","Mike Normand",1,1956-12-21,1666181
"100","Walter Whitehouse",1,1950-01-29,1666200
"101","Juliann Manfredi",0,1970-03-14,1666200
"102","Sanjuanita Tall",0,1960-09-19,1666200
"103","Athena Suter",0,1950-01-15,1666921
"104","Hobert Rexrode",1,1962-08-22,1666921
"105","Lyn Neumann",0,1954-03-07,1666921
"106","Jettie Hawkin",0,1958-08-08,1667775
"107","Brice Dunklin",1,1967-08-07,1667775
"108","Preston Helgeson",1,1954-01-28,1667775
"109","Kayleigh Bains",0,1977-12-13,1667834
"110","Lu Dewolfe",0,1963-07-15,1667834
"111","Nola Bilby",0,1972-10-13,1667834
"112","Micheal Bruder",1,1967-03-09,1671079
"113","Marilynn Strohmeyer",0,1954-04-29,1671079
"114","Jordon Garza",1,1977-11-11,1671079
"115","Eveline Brakefield",0,1956-11-07,1671545
"116","Jaqueline Tso",0,1956-12-27,1671545
"117","Marilynn Strohmeyer",0,1967-03-17,1671545
"118","Roberto Karim",1,1962-09-16,1673217
"119","Alfonso Nastasi",1,1968-06-11,1673217
"120","Jan Millett",1,1960-12-09,1673217
